MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,2,B6,263,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1735,1735,17.58333333,2051,22,0,22,0,0,0,0
1,2,DL,419,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1555,1552,15.86666667,1918,29,0,29,0,0,0,0
1,2,AA,235,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1835,1946,19.76666667,2205,91,0,20,0,7,64,0
1,2,DL,46,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,815,850,8.833333333,1200,26,0,0,0,26,0,0
1,2,DL,430,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,1000,1038,10.63333333,1332,26,0,21,0,5,0,0
1,2,AA,85,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,1530,1529,15.48333333,1910,30,0,30,0,0,0,0
1,2,VX,23,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,1030,1057,10.95,1400,33,0,18,0,15,0,0
1,2,B6,915,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,2029,2106,21.1,10,37,0,0,0,10,27,0
1,2,UA,415,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,605,626,6.433333333,949,39,0,18,0,21,0,0
1,2,DL,432,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,1745,1856,18.93333333,2126,,0,,,,,
1,2,DL,2301,JFK,40.63975,-73.77893,SLC,40.78839,-111.97777,1555,1551,15.85,1924,18,0,18,0,0,0,0
1,2,B6,325,JFK,40.63975,-73.77893,TPA,27.97547,-82.53325,1440,1436,14.6,1747,16,0,16,0,0,0,0
1,2,DL,2651,JFK,40.63975,-73.77893,TPA,27.97547,-82.53325,1840,1906,19.1,2156,18,0,0,0,16,2,0
1,2,B6,425,JFK,40.63975,-73.77893,TPA,27.97547,-82.53325,2145,2158,21.96666667,44,32,0,19,0,0,13,0
1,3,DL,1583,LGA,40.63975,-73.77893,ATL,33.64044,-84.42694,1900,1930,19.5,2147,15,0,0,0,15,0,0
